City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,along,28.17,94.8,60.87,70,95,3.44,IN,1573252464
295,anori,-3.74,-61.66,78.24,80,38,1.83,BR,1573253007
296,hanzhong,33.08,107.03,54.68,78,100,1.36,CN,1573253007
297,richards bay,-28.77,32.06,69.62,74,90,7.67,ZA,1573252472
298,soyo,-6.13,12.37,78.76,86,81,3.98,AO,1573253007
299,state college,40.79,-77.86,33.8,47,1,9.17,US,1573253007
300,port-gentil,-0.72,8.78,82.4,88,20,9.17,GA,1573252418
301,port lincoln,-34.72,135.86,58.89,51,21,10.83,AU,1573253008
302,chervonohryhorivka,47.62,34.52,57.99,87,75,8.95,UA,1573253008
303,scarborough,54.28,-0.41,45.0,86,19,6.93,GB,1573252987
304,kattivakkam,13.22,80.32,84.2,89,40,4.7,IN,1573253008
305,rosarito,4.91,-75.23,82.4,88,75,2.24,CO,1573253008
306,chifeng,42.27,118.96,35.13,44,0,4.79,CN,1573253008
307,prince rupert,54.32,-130.32,50.0,87,90,18.34,CA,1573252208
308,osinki,54.14,22.99,45.81,92,100,7.61,PL,1573253009
309,komsomolskiy,67.55,63.78,3.6,95,100,11.32,RU,1573252851
310,marawi,8.0,124.29,73.99,82,28,5.01,PH,1573253009
311,kaeo,-35.1,173.78,73.99,99,41,15.39,NZ,1573252488
312,takoradi,4.89,-1.75,80.2,80,0,3.85,GH,1573252483
313,changli,30.54,105.42,60.4,79,100,2.91,CN,1573253009
314,shetpe,44.14,52.16,47.98,39,21,13.56,KZ,1573253009
315,cartagena,37.63,-1.0,55.0,46,0,5.82,ES,1573253010
316,mogadishu,2.04,45.34,80.74,79,96,8.39,SO,1573252721
317,gualeguay,-33.15,-59.31,67.66,92,17,8.08,AR,1573253010
318,uusikaupunki,60.8,21.41,42.8,93,90,8.05,FI,1573253010
319,huambo,-12.78,15.73,61.65,82,52,2.48,AO,1573253010
320,san isidro,10.02,-84.06,77.0,64,75,14.99,CR,1573253010
321,iqaluit,63.75,-68.52,6.8,84,40,9.17,CA,1573252424
322,pervomayskoye,57.07,86.23,18.0,84,98,14.9,RU,1573253010
323,kununurra,-15.77,128.74,82.4,65,8,1.12,AU,1573253011
324,mitsamiouli,-11.38,43.28,80.6,74,40,6.93,KM,1573252482
325,mount pleasant,33.16,-94.97,51.8,37,1,4.7,US,1573252877
326,labuan,5.28,115.24,77.0,88,75,3.36,BN,1573253011
327,cayenne,4.94,-52.33,80.6,83,20,3.36,GF,1573253011
328,bereda,43.27,-7.54,55.0,76,40,9.17,ES,1573253011
329,fort nelson,58.81,-122.69,14.0,85,90,6.93,CA,1573252412
330,sibut,5.73,19.09,74.26,78,79,1.77,CF,1573253012
331,ayr,-19.58,147.4,90.7,32,9,5.41,AU,1573253012
332,westport,41.14,-73.36,37.4,40,1,12.75,US,1573252820
333,hornepayne,49.22,-84.78,17.51,83,100,3.74,CA,1573253012
334,namibe,-15.19,12.15,74.35,82,45,10.07,AO,1573252423
335,pitmedden,57.34,-2.18,32.0,70,79,4.7,GB,1573253013
336,sao joao da barra,-21.64,-41.05,75.2,94,90,9.17,BR,1573252487
337,phan thiet,10.93,108.1,72.39,85,100,2.82,VN,1573253013
338,egvekinot,66.32,-179.17,14.88,90,42,6.4,RU,1573252419
339,sonoita,31.68,-110.66,79.0,40,1,12.75,US,1573253013
340,santa isabel do rio negro,-0.41,-65.02,82.65,67,100,1.63,BR,1573253013
341,avon park,27.6,-81.51,75.99,88,90,8.05,US,1573253013
342,atherton,-17.27,145.48,82.0,44,0,11.41,AU,1573253009
343,karasjok,69.47,25.52,21.2,79,75,6.93,NO,1573253014
344,aripuana,-9.17,-60.63,75.25,88,69,2.44,BR,1573253014
345,pakxe,15.12,105.78,66.0,86,100,0.22,LA,1573253014
346,beloha,-25.17,45.06,66.54,96,0,3.0,MG,1573252431
347,maragogi,-9.01,-35.22,79.5,76,73,16.26,BR,1573252361
348,villa union,-10.79,-65.46,86.0,74,75,1.83,BO,1573253014
349,mtwara,-10.28,40.18,72.99,97,4,3.2,TZ,1573253014
350,manokwari,-0.87,134.08,80.02,69,100,4.45,ID,1573253015
351,chicama,-7.84,-79.15,64.4,82,75,10.29,PE,1573252436
352,tavares,-7.64,-37.88,80.29,54,96,14.54,BR,1573252909
353,taguatinga,-15.83,-48.06,80.6,57,20,10.29,BR,1573253015
354,saint anthony,43.97,-111.68,55.4,27,1,8.05,US,1573253015
355,usinsk,66.0,57.56,11.44,95,93,12.73,RU,1573253015
356,faya,18.39,42.45,60.8,77,0,2.53,SA,1573253015
357,tabou,4.42,-7.36,75.85,92,93,2.06,CI,1573252436
358,morondava,-20.3,44.28,75.76,73,0,2.59,MG,1573253016
359,trincomalee,8.58,81.23,72.54,95,99,3.62,LK,1573253016
360,sajanan,37.06,9.24,57.2,100,40,5.82,TN,1573253016
361,abalak,15.46,6.28,81.79,12,0,9.55,NE,1573253016
